siteID,Name,lon_WGS84,lat_WGS84,IDTM_X,IDTM_Y
Site-38,Wells Thompson Graze Area,-112.774868506225,42.9995239650739,2599859.76427202,1311713.88136
Site-39,Wells Thompson Graze Area,-112.775466679808,43.0059979799595,2599800.52570338,1312432.1108345
Site-40,Wells Thompson Graze Area,-112.780832240079,43.004207378091,2599366.1095334,1312226.90241321
Site-41,Wells Thompson Graze Area,-112.779427685636,43.0017285536393,2599484.58667067,1311953.29118483
Site-42,Wells Thompson Graze Area,-112.775067885182,43.0016819710089,2599840.01808247,1311953.29118483
Site-43,Wells Thompson Graze Area,-112.774945506558,43.0078402901506,2599840.01808247,1312637.31925578
Site-44,Wells Thompson Graze Area,-112.780286871396,43.007281381292,2599405.60191249,1312568.91644869
Site-45,Wells Thompson Graze Area,-112.772943144582,42.9988873738075,2600017.73378837,1311645.47855291
Site-46,Wells Thompson Graze Area,-112.77144086214,43.0013351096015,2600136.21092564,1311919.08978129
Site-47,Wells Thompson Graze Area,-112.778410028786,43.0041815478837,2599563.57142884,1312226.90241321
Site-48,Wells Thompson Graze Area,-112.778076251725,43.0087977053753,2599583.31761839,1312739.92346642
Site-49,Wells Thompson Graze Area,-112.777774936772,42.9995550424292,2599622.80999748,1311713.88136
Site-50,Wells Thompson Graze Area,-112.775601228256,42.9992238250142,2599800.52570338,1311679.67995646
Site-51,Wells Thompson Graze Area,-112.773777211033,43.0056719083506,2599938.74903019,1312397.90943095
Site-52,Wells Thompson Graze Area,-112.781801125492,43.0042176958245,2599287.12477522,1312226.90241321
Site-53,Wells Thompson Graze Area,-112.781589333349,43.0026755332485,2599306.87096476,1312055.89539548
Site-54,Wells Thompson Graze Area,-112.775564537848,43.0010713226493,2599800.52570338,1311884.88837774
Site-55,Wells Thompson Graze Area,-112.776175023227,43.0069295013523,2599741.28713475,1312534.71504514
Site-56,Wells Thompson Graze Area,-112.781243628213,43.0079075372717,2599326.61715431,1312637.31925578
Site-57,Wells Thompson Graze Area,-112.779415493033,43.0023443868625,2599484.58667067,1312021.69399193
Site-58,Wells Thompson Graze Area,-112.774571222588,43.0022926170276,2599879.51046156,1312021.69399193
Site-59,Wells Thompson Graze Area,-112.776386691854,43.0084716713353,2599721.5409452,1312705.72206287
Site-60,Wells Thompson Graze Area,-112.780983122951,43.0088287066005,2599346.36334385,1312739.92346642
Site-61,Wells Thompson Graze Area,-112.774148021391,42.9992082680569,2599919.00284065,1311679.67995646
Site-62,Wells Thompson Graze Area,-112.771900745392,43.002571971973,2600096.71854655,1312055.89539548
Site-63,Wells Thompson Graze Area,-112.777168383857,43.0057081945519,2599662.30237657,1312397.90943095
Site-64,Wells Thompson Graze Area,-112.778100668802,43.0075660408682,2599583.31761839,1312603.11785223
Site-65,Wells Thompson Graze Area,-112.774249418019,43.0062929298527,2599899.2566511,1312466.31223804
Site-66,Wells Thompson Graze Area,-112.78038434866,43.0023547162322,2599405.60191249,1312021.69399193
Site-67,Wells Thompson Graze Area,-112.773231476611,43.0087458726481,2599978.24140928,1312739.92346642
Site-68,Wells Thompson Graze Area,-112.773626870925,43.0010505746082,2599958.49521974,1311884.88837774
Site-69,Wells Thompson Graze Area,-112.782249071883,43.006070352235,2599247.63239613,1312432.1108345
Site-70,Wells Thompson Graze Area,-112.776236154005,43.0038503407413,2599741.28713475,1312192.70100966
Site-71,Wells Thompson Graze Area,-112.778809069885,43.0084975464174,2599524.07904976,1312705.72206287
